date,all_tests,pcr_tests,sero_tests
2020-07-23,28,16,12
2020-07-22,1106,586,520
2020-07-21,4868,2978,1890
2020-07-20,5599,3553,2046
2020-07-19,2424,2033,391
2020-07-18,3376,2804,572
2020-07-17,9581,7331,2250
2020-07-16,10064,8275,1789
2020-07-15,12960,11194,1766
2020-07-14,13568,11183,2385
2020-07-13,13751,11336,2415
2020-07-12,4784,4301,483
2020-07-11,6858,6135,723
2020-07-10,16338,13849,2489
2020-07-09,19422,17114,2308
2020-07-08,20287,18059,2228
2020-07-07,21916,19124,2792
2020-07-06,21176,18875,2301
2020-07-05,7090,6682,408
2020-07-04,6955,6423,532
2020-07-03,14647,13792,855
2020-07-02,23408,20774,2634
2020-07-01,22957,20186,2771
2020-06-30,23228,20460,2768
2020-06-29,23676,20186,3490
2020-06-28,8050,7533,517
2020-06-27,12260,11409,851
2020-06-26,22825,19186,3639
2020-06-25,21870,18467,3403
2020-06-24,21882,18454,3428
2020-06-23,21846,18288,3558
2020-06-22,19609,16751,2858
2020-06-21,6858,6204,654
2020-06-20,11035,10218,817
2020-06-19,20437,17065,3372
2020-06-18,19038,16020,3018
2020-06-17,16505,13800,2705
2020-06-16,17251,13680,3571
2020-06-15,15925,13222,2703
2020-06-14,5265,4632,633
2020-06-13,8492,7659,833
2020-06-12,16132,13161,2971
2020-06-11,14928,11562,3366
2020-06-10,14845,11592,3253
2020-06-09,15285,12038,3247
2020-06-08,14236,11020,3216
2020-06-07,4285,3676,609
2020-06-06,5723,4718,1005
2020-06-05,13714,10437,3277
2020-06-04,11882,8688,3194
2020-06-03,11488,8342,3146
2020-06-02,12211,8517,3694
2020-06-01,12232,8255,3977
2020-05-31,3249,2528,721
2020-05-30,9520,7686,1834
2020-05-29,12453,8810,3643
2020-05-28,10944,7312,3632
2020-05-27,9836,6122,3714
2020-05-26,10471,6561,3910
2020-05-25,2692,2170,522
2020-05-24,3193,2538,655
2020-05-23,6817,4688,2129
2020-05-22,9908,5929,3979
2020-05-21,9813,5690,4123
2020-05-20,9257,4844,4413
2020-05-19,10235,5745,4490
2020-05-18,10873,6238,4635
2020-05-17,3853,2644,1209
2020-05-16,12076,10372,1704
2020-05-15,11791,7266,4525
2020-05-14,9452,5645,3807
2020-05-13,9751,5887,3864
2020-05-12,10322,6434,3888
2020-05-11,10397,6188,4209
2020-05-10,2101,1655,446
2020-05-09,10133,9172,961
2020-05-08,10826,5790,5036
2020-05-07,10091,5753,4338
2020-05-06,8686,4398,4288
2020-05-05,8724,4498,4226
2020-05-04,8576,4370,4206
2020-05-03,1546,1161,385
2020-05-02,5607,5125,482
2020-05-01,7575,3877,3698
2020-04-30,6384,3350,3034
2020-04-29,5788,3052,2736
2020-04-28,4949,3120,1829
2020-04-27,3936,2798,1138
2020-04-26,671,671,0
2020-04-25,901,881,20
2020-04-24,2548,2398,150
2020-04-23,2106,2081,25
2020-04-22,1989,1984,5
2020-04-21,1947,1942,5
2020-04-20,2149,2139,10
2020-04-19,695,693,2
2020-04-18,721,717,4
2020-04-17,1980,1965,15
2020-04-16,1803,1799,4
2020-04-15,1755,1748,7
2020-04-14,1719,1715,4
2020-04-13,1825,1820,5
2020-04-12,667,667,0
2020-04-11,647,646,1
2020-04-10,1558,1554,4
2020-04-09,1699,1693,6
2020-04-08,1550,1550,0
2020-04-07,1720,1720,0
2020-04-06,2164,2164,0
2020-04-05,665,665,0
2020-04-04,877,877,0
2020-04-03,1839,1839,0
2020-04-02,1969,1969,0
2020-04-01,1925,1925,0
2020-03-31,1892,1892,0
2020-03-30,2022,2022,0
2020-03-29,603,603,0
2020-03-28,1016,1016,0
2020-03-27,2031,2031,0
2020-03-26,2079,2079,0
2020-03-25,2360,2360,0
2020-03-24,2228,2228,0
2020-03-23,2198,2198,0
2020-03-22,583,583,0
2020-03-21,667,667,0
2020-03-20,1689,1689,0
2020-03-19,1489,1489,0
2020-03-18,1306,1306,0
2020-03-17,1227,1227,0
2020-03-16,927,927,0
2020-03-15,256,256,0
2020-03-14,211,211,0
2020-03-13,408,408,0
2020-03-12,289,289,0
2020-03-11,94,94,0
2020-03-10,45,45,0
2020-03-09,44,44,0
2020-03-08,7,7,0
2020-03-07,3,3,0
2020-03-06,20,20,0
2020-03-05,8,8,0
2020-03-04,11,11,0
2020-03-03,1,1,0
2020-03-02,5,5,0
2020-03-01,3,3,0
