date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-07-29,26,15,11,0.0
2020-07-28,2884,2018,866,0.1080277502477701
2020-07-27,7115,5571,1544,0.1051875785316819
2020-07-26,3855,3493,362,0.1202404809619239
2020-07-25,3856,3320,536,0.1087349397590361
2020-07-24,8505,6627,1878,0.1044213067753131
2020-07-23,8139,6519,1620,0.1181162755023777
2020-07-22,9964,8236,1728,0.1096406022340942
2020-07-21,10471,7916,2555,0.121399696816574
2020-07-20,10228,7741,2487,0.1296990052964733
2020-07-19,3624,3231,393,0.1476323119777159
2020-07-18,5843,5272,571,0.1456752655538695
2020-07-17,16106,13754,2352,0.1286898356841646
2020-07-16,13992,12112,1880,0.1468791281373844
2020-07-15,16039,14158,1881,0.1522813956773556
2020-07-14,17805,15370,2435,0.1679245283018868
2020-07-13,17387,14966,2421,0.1798743819323801
2020-07-12,7134,6652,482,0.1981358989777511
2020-07-11,10684,9969,715,0.1881833684421707
2020-07-10,19800,17305,2495,0.1793701242415487
2020-07-09,21426,19117,2309,0.1796306951927604
2020-07-08,20799,18573,2226,0.1961449415818662
2020-07-07,21844,19052,2792,0.1978269997900483
2020-07-06,21027,18728,2299,0.2024775736864588
2020-07-05,7041,6634,407,0.2490201989749774
2020-07-04,6908,6376,532,0.2186323713927227
2020-07-03,14519,13666,853,0.198960924923167
2020-07-02,23254,20623,2631,0.1904184648208311
2020-07-01,22839,20070,2769,0.2039362232187344
2020-06-30,23069,20304,2765,0.2095646178092987
2020-06-29,23517,20027,3490,0.2203525240924752
2020-06-28,7973,7456,517,0.2410139484978541
2020-06-27,12133,11286,847,0.2309055466950204
2020-06-26,22632,19001,3631,0.196937003315615
2020-06-25,21693,18292,3401,0.2005794883008966
2020-06-24,21720,18295,3425,0.1938781087728888
2020-06-23,21650,18096,3554,0.1785477453580902
2020-06-22,19486,16630,2856,0.1992182802164763
2020-06-21,6821,6168,653,0.2350843060959793
2020-06-20,10969,10153,816,0.2075248694967005
2020-06-19,20316,16947,3369,0.1704726500265534
2020-06-18,18928,15914,3014,0.1735578735704411
2020-06-17,16397,13695,2702,0.1912376779846659
2020-06-16,17168,13600,3568,0.1718382352941177
2020-06-15,15855,13153,2702,0.1709876073899491
2020-06-14,5245,4612,633,0.181266261925412
2020-06-13,8445,7612,833,0.1703888596952181
2020-06-12,16058,13091,2967,0.1376518218623482
2020-06-11,14831,11468,3363,0.1403034530868504
2020-06-10,14786,11536,3250,0.1367024965325936
2020-06-09,15233,11988,3245,0.1306306306306306
2020-06-08,14167,10952,3215,0.1319393718042367
2020-06-07,4259,3650,609,0.1553424657534247
2020-06-06,5686,4682,1004,0.1413925672789406
2020-06-05,13647,10374,3273,0.1048775785617891
2020-06-04,11830,8639,3191,0.1176062044218081
2020-06-03,11422,8280,3142,0.1260869565217391
2020-06-02,12157,8464,3693,0.1180293005671078
2020-06-01,12181,8208,3973,0.1090399610136452
2020-05-31,3229,2509,720,0.1171781586289358
2020-05-30,9466,7634,1832,0.0792507204610951
2020-05-29,12404,8763,3641,0.0815930617368481
2020-05-28,10899,7268,3631,0.0840671436433682
2020-05-27,9807,6096,3711,0.1005577427821522
